Id,SalePrice
1461,127062.21677854873
1462,180958.78739464137
1463,193531.93298377036
1464,219990.0715336196
1465,166254.25694924901
1466,182271.78796719137
1467,177802.12438111732
1468,169830.60176803052
1469,208157.77894353858
1470,123139.73559549796
1471,198813.30444332818
1472,112871.3581976185
1473,111257.62569757723
1474,147351.5491766328
1475,92024.24849533442
1476,320684.10051391204
1477,245087.8640233954
1478,306821.15133604326
1479,285127.53349716356
1480,473533.7324734391
1481,344788.9356306774
1482,227828.9445594094
1483,160941.51131426243
1484,181033.91143974208
1485,192316.4453848616
1486,201771.67085237041
1487,334583.33870695793
1488,251398.7018646879
1489,168581.0456058435
1490,217842.43230586086
1491,193912.68451584887
1492,100314.5721840946
1493,231704.2382705604
1494,294936.14733568707
1495,280825.2752803666
1496,237437.9452924701
1497,158261.36615083306
1498,168726.0310304761
1499,157134.729589575
1500,158992.99348925287
1501,195703.27547231887
1502,143664.96060273884
1503,296657.51561267034
1504,253819.73765070562
1505,227953.52030381764
1506,195038.0518552193
1507,250527.9634525655
1508,198836.5486028457
1509,163408.13155390156
1510,152556.59654093455
1511,136988.05957370604
1512,171791.54235229356
1513,147328.98460989504
1514,156971.14589326608
1515,214689.9149366954
1516,160258.23474233865
1517,182230.73451197118
1518,125295.58208391213
1519,231213.7252469507
1520,126566.3178362654
1521,129126.80272011804
1522,186816.47049962785
1523,97685.09131649093
1524,111205.9284734044
1525,116792.94007837935
1526,102678.14300949193
1527,117955.08712574645
1528,145480.42232523576
1529,142595.6408007843
1530,212965.8538768359
1531,159316.56905424743
1532,106654.3271699997
1533,140936.65606467237
1534,119207.79845212176
1535,154701.16404878406
1536,111893.00199533725
1537,93441.66063428338
1538,160628.9356185504
1539,180742.65299986931
1540,110950.8683856538
1541,146772.50182854565
1542,140613.38258369046
1543,177747.6203818781
1544,93853.20355206568
1545,109305.53876043815
1546,150410.32814987874
1547,156730.44715108193
1548,133093.3879586892
1549,130666.18013264063
1550,139361.93919886564
1551,119085.66165952933
1552,154196.02636517555
1553,153425.45318353188
1554,122045.23215510708
1555,174260.59275836535
1556,100809.62715023613
1557,98375.34845372173
1558,100891.20460173668
1559,99445.29837300103
1560,136916.55094307935
1561,116893.0424450246
1562,121761.65505548462
1563,113958.44242419682
1564,174749.87983320284
1565,164584.41221106396
1566,259352.6054448458
1567,91865.9936381326
1568,247575.5527641473
1569,152649.16004594593
1570,145000.31343123544
1571,128535.6086286934
1572,147043.5414216835
1573,262479.8090048104
1574,128152.34641158342
1575,261166.94357002425
1576,306447.6061451846
1577,185119.59766964905
1578,151509.61248835464
1579,133684.058549506
1580,194263.760909574
1581,153109.030934881
1582,124354.63875437969
1583,314260.66556685325
1584,230726.38569506037
1585,131002.96736910644
1586,85084.19157456957
1587,103040.58623229989
1588,160119.98289493832
1589,114082.29832474048
1590,132595.47756056627
1591,82178.689240939
1592,131078.53756450303
1593,129112.96945834802
1594,127292.79154534955
1595,108362.77055935719
1596,201691.8058658202
1597,176079.75076299298
1598,175296.98121021138
1599,204881.8381454241
1600,190583.4372473442
1601,67585.11368485191
1602,122660.70871868773
1603,99759.11210563782
1604,278904.91321186424
1605,252054.45988365036
1606,171197.97757923353
1607,158829.38185291813
1608,244205.10508382035
1609,158007.65454055503
1610,143616.3053723221
1611,141513.8570984335
1612,164876.9386754216
1613,174591.7497037137
1614,148253.56235884145
1615,101520.48085891842
1616,74683.722485004
1617,98307.09700692171
1618,117256.5853824318
1619,135959.82491190138
1620,159243.6404480372
1621,134146.6609140016
1622,148766.74364198293
1623,274569.108027382
1624,239768.40876422334
1625,114547.47702000086
1626,187846.3035835297
1627,195635.4465600241
1628,316823.16440884327
1629,182742.11378931845
1630,316681.0165338006
1631,214385.91421322385
1632,213189.4063128535
1633,187614.06918008492
1634,198057.52952519688
1635,185707.3669524059
1636,139966.81547258183
1637,189180.20293897457
1638,219276.86787611526
1639,200902.6774760601
1640,252106.2608652917
1641,173737.33126148625
1642,224950.982791773
1643,217587.7813853288
1644,232165.59403386468
1645,234197.1979243168
1646,159530.79832051785
1647,155378.74228801942
1648,129453.53488146595
1649,139861.90068065873
1650,126385.1426025744
1651,127406.43596036601
1652,109523.77300124057
1653,111415.20398299122
1654,133874.9777426073
1655,128157.89400091777
1656,140052.4670567156
1657,150866.38425565395
1658,145890.4056997645
1659,113852.51654803223
1660,164376.16507443797
1661,411543.316873777
1662,325473.37151658896
1663,339195.16247055796
1664,440536.50315473345
1665,291272.7407472839
1666,357400.76756575506
1667,300957.8189339718
1668,321814.4064090711
1669,286696.2007203229
1670,315046.9706565403
1671,264531.2531759842
1672,381363.08441009116
1673,298438.94299376296
1674,272469.8346770886
1675,200750.10016082285
1676,212179.9060971295
1677,219176.4771232355
1678,440466.62495028344
1679,371287.8709187641
1680,292185.30597237824
1681,231816.49449609878
1682,323189.91820180963
1683,189842.17988942884
1684,180331.07417548978
1685,183346.11024242663
1686,192027.8300355555
1687,176486.86830115374
1688,208297.98638756448
1689,212694.57190542214
1690,208562.88600150464
1691,200616.926835725
1692,262801.2890002947
1693,173500.47446705436
1694,191597.46376331346
1695,151976.88121016035
1696,296158.95880622626
1697,169562.42048996553
1698,345489.3126286061
1699,313096.79329916555
1700,261323.98431709438
1701,282086.9275979998
1702,271529.943936569
1703,272997.1878630886
1704,286816.62219081644
1705,257815.38002688298
1706,399762.8631838219
1707,192541.6758850959
1708,193274.55977583112
